district,year,dem_candidate,rep_candidate,actual_dem_pct,baseline_dem_pct,overperformance,pvi_cycles,baseline_ok,two_party_votes,incumbency,inc_signed,candidate_quality,local_trend,fin_log2_dr,d_receipts,r_receipts,is_midterm,finance_controlled,expected_from_factors,unexplained_residual
ld41,2024,TANA SENN,EMILY TADLOCK,67.65,50.0,17.65,0,False,75128,D-INC,3.5,2.0,0.0,3.63,123646.44,9998.59,0,,,
ld42,2018,JUSTIN BONEAU,LUANNE VAN WERVEN,49.94,47.43,2.51,1,True,72404,R-INC,-4.0,0.0,0.0,,52031.94,,1,False,1.47,1.04
ld42,2020,ALICIA RULE,LUANNE VAN WERVEN,51.17,47.43,3.74,1,True,92364,D-INC,3.5,0.0,3.0,,361319.21,,0,False,5.14,-1.4
ld42,2022,ALICIA RULE,TAWSHA (DYKSTRA) THOMPSON,51.77,49.84,1.93,2,True,75091,D-INC,3.5,2.0,0.63,0.61,572721.59,374735.75,1,True,3.46,-1.53
ld42,2024,ALICIA RULE,RAYMOND PELLETTI,55.4,51.76,3.64,2,True,89892,D-INC,3.5,2.0,-0.11,4.53,478839.92,20707.28,0,True,4.89,-1.25
ld43,2020,NICOLE MACRI,LESLIE KLEIN,90.99,50.0,40.99,0,False,94961,NONE,0,0.0,0.0,,186151.82,,0,,,
ld44,2018,JOHN LOVICK,JEFF SAX,57.04,51.92,5.12,1,True,66477,R-INC,-4.0,0.0,0.0,3.02,302015.68,37342.99,1,True,1.95,3.17
ld44,2020,JOHN LOVICK,JOHN T. KARTAK,57.2,51.92,5.28,1,True,88691,D-INC,3.5,0.0,3.0,2.88,180812.62,24547.36,0,True,5.55,-0.27
ld44,2022,BRANDY DONAGHY,MARK HARMSWORTH,53.31,53.52,-0.21,2,True,62404,D-INC,3.5,0.0,-0.31,-0.11,246686.01,265890.52,1,True,1.56,-1.77
ld44,2024,APRIL BERG,SAM SIM,57.64,55.35,2.29,2,True,74869,OPEN,0,0.0,0.86,3.67,287314.54,22519.07,0,True,3.68,-1.39
ld45,2020,ROGER GOODMAN,JOHN P. GIBBONS,71.68,50.0,21.68,0,False,83964,NONE,0,0.0,0.0,,128652.62,,0,,,
ld45,2022,ROGER GOODMAN,CHERESE BOURGOIN,69.61,48.65,20.96,0,False,65707,D-INC,3.5,2.0,0.0,2.99,111505.87,14061.4,1,,,
ld46,2020,GERRY POLLET,ERIC J. BROWN,83.89,50.0,33.89,0,False,91267,NONE,0,0.0,0.0,3.43,53478.95,4946.94,0,,,
ld46,2024,GERRY POLLET,BETH DARANCIANG,87.54,50.0,37.54,0,False,83080,OPEN,0,2.0,0.0,3.56,96515.79,8196.98,0,,,
ld47,2020,DEBRA ENTENMAN,KYLE LYEBYEDYEV,58.65,50.0,8.65,0,False,71866,NONE,0,2.0,0.0,1.79,98959.06,28562.0,0,,,
ld47,2022,DEBRA JEAN ENTENMAN,KYLE LYEBYEDYEV,57.2,48.65,8.55,0,False,49624,OPEN,0,2.0,0.0,0.02,107767.72,106153.17,1,,,
ld47,2024,DEBRA JEAN ENTENMAN,KYLE LYEBYEDYEV,56.36,50.0,6.36,0,False,63041,D-INC,3.5,2.0,-1.9,3.62,77402.81,6287.9,0,,,
ld48,2020,VANDANA SLATTER,VICTOR H. BISHOP,71.31,50.0,21.31,0,False,69310,NONE,0,0.0,0.0,2.68,123994.39,19361.23,0,,,
ld48,2022,PATTY KUDERER,MICHELLE DARNELL,70.65,48.65,22.0,0,False,47003,D-INC,3.5,2.0,0.0,,224589.02,,1,,,
ld48,2024,VANDANA SLATTER,LYNN TRINH,68.38,50.0,18.38,0,False,57975,D-INC,3.5,2.0,-0.25,2.3,211350.98,42799.49,0,,,
ld49,2020,SHARON WYLIE,JUSTIN FORSMAN,63.08,59.13,3.95,1,True,72420,D-INC,3.5,0.0,0.0,,74238.07,,0,False,2.9,1.05
ld49,2022,SHARON WYLIE,PARK LLAFET,62.07,59.27,2.8,2,True,51505,D-INC,3.5,0.0,0.15,1.99,95891.0,24093.36,1,True,2.97,-0.17
ld49,2024,SHARON WYLIE,BRETT GRAHAM,63.6,58.61,4.99,2,True,67975,D-INC,3.5,2.0,-0.66,7.26,92252.04,601.91,0,True,5.86,-0.87
